ipo_name,date,text
CreditAccess Gr,23-08-18,"IPO Name: CreditAccess Gr
Date Opened: 23-08-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 5.52
HNI subscription: 0.98
RII subscription: 0.88
CMP (BSE): 
Current Gains: "
TCNS Clothing C,30-07-18,"IPO Name: TCNS Clothing C
Date Opened: 30-07-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 13.47
HNI subscription: 5.08
RII subscription: 0.67
CMP (BSE): 
Current Gains: "
RITES,02-07-18,"IPO Name: RITES
Date Opened: 02-07-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 71.72
HNI subscription: 194.56
RII subscription: 15.74
CMP (BSE): 
Current Gains: "
Fine Organics,02-07-18,"IPO Name: Fine Organics
Date Opened: 02-07-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 12.86
HNI subscription: 21.01
RII subscription: 1.62
CMP (BSE): 
Current Gains: "
Indostar Capita,21-05-18,"IPO Name: Indostar Capita
Date Opened: 21-05-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 16.08
HNI subscription: 6.91
RII subscription: 1.48
CMP (BSE): 
Current Gains: "
ICICI Securitie,05-04-18,"IPO Name: ICICI Securitie
Date Opened: 05-04-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.54
HNI subscription: 0.05
RII subscription: 0.39
CMP (BSE): 
Current Gains: "
Mishra Dhatu Ni,04-04-18,"IPO Name: Mishra Dhatu Ni
Date Opened: 04-04-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.96
HNI subscription: 0.12
RII subscription: 0.72
CMP (BSE): 
Current Gains: "
Hindustan Aeron,28-03-18,"IPO Name: Hindustan Aeron
Date Opened: 28-03-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.73
HNI subscription: 0.03
RII subscription: 0.39
CMP (BSE): 
Current Gains: "
Bandhan Bank,27-03-18,"IPO Name: Bandhan Bank
Date Opened: 27-03-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 38.67
HNI subscription: 13.89
RII subscription: 1.2
CMP (BSE): 
Current Gains: "
Bharat Dynamics,23-03-18,"IPO Name: Bharat Dynamics
Date Opened: 23-03-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.5
HNI subscription: 0.5
RII subscription: 1.41
CMP (BSE): 
Current Gains: "
HG Infra Engg,09-03-18,"IPO Name: HG Infra Engg
Date Opened: 09-03-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 8.37
HNI subscription: 4.97
RII subscription: 3.08
CMP (BSE): 
Current Gains: "
